"postId","commentId","content","timestamp","likeCount"
"OTcYhxRkQ9E","Ugzrszo4EV2uwWXQKuN4AaABAg","Lạng Sơn có bị ảnh hưởng lớn ko vậy mng😢😱😱😰😨","06/09/2024 16:10","4"
"OTcYhxRkQ9E","UgyY5aziCCJ3_WM6kVx4AaABAg","ở ngoài bắc mấy khi có bão đâu, ở miền trung năm nào chả có, có khi 1 năm đón 2 3 lần bão","06/09/2024 20:31","0"
"OTcYhxRkQ9E","Ugzq75gU8LddtiPBZa14AaABAg","Bao lần nhà đài dự báo là bão mạnh có thấy j đâu","06/09/2024 12:03","1"
"OTcYhxRkQ9E","Ugzc8raSBKWcFDph1il4AaABAg","Chỗ tui sắp có siêu bão rồi 🫨🫨🥶🥶🥶😨😨","06/09/2024 13:06","1"
"21_azfFEWsQ","Ugxa_I92bL3zgEMbX6R4AaABAg","Bão HẢI YẾN đáng sợ lắm","06/12/2025 08:20","0"
"21_azfFEWsQ","UgxIjVV0LAzXfXZFbyt4AaABAg","😱😱😱😱😱😱","19/08/2025 10:39","2"
"21_azfFEWsQ","UgwVggs45yp8e-LtGx14AaABAg","Omg","01/09/2025 15:43","2"
"21_azfFEWsQ","UgyYVeae1td_8dsqdKx4AaABAg","Bão ragasa còn mạnh hơn cả bão yagi","26/09/2025 18:03","0"
"yPDLWBBlnTo","UgwjxGYwcnvDMAM-NZZ4AaABAg","Cầu mong những nơi có bão đi qua, mọi người đều bình an ❤","09/09/2024 19:12","1"
"LVFOG9sWt4o","UgyWaQ1WOXnQASDOAdp4AaABAg","mẹ thiên nhiên vs mẹ thiên hạ","01/10/2025 19:40","0"
"LVFOG9sWt4o","UgxuBAOeCE7eRLunM4F4AaABAg","😂","21/09/2024 10:06","1"
"Nj-cd3SXYII","UgyrgmGdg0EplbWORhR4AaABAg","May ko thống kê bắc ninh. Thật tôi là người bắc ninh nhà tôi cũng bay  nóc  nhưng thương bà con  vùng  cao quá","23/09/2024 01:14","11"
"Nj-cd3SXYII","UgxO902kzt2BnU93TQF4AaABAg","Đỉnh cao trí tuệ là đây hihi","02/11/2024 10:04","0"
"Nj-cd3SXYII","Ugx_EtQV0FXea6ik6KN4AaABAg","Mới bị té xe hồi sáng😂😂","09/10/2024 17:21","0"
"Nj-cd3SXYII","UgybTyPCBLMTGycL78p4AaABAg","Quê tôi ở Yên Bái mong ông ngoại bình an❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤","08/10/2024 20:13","4"
"Nj-cd3SXYII","Ugx4q2NdnPzr3wvjTAB4AaABAg","Đấy là thiệt hại về người còn tài sản nhất quảng ninh nhì hải phòng nhé trong tt thời sự nói","24/09/2024 10:47","4"
"Nj-cd3SXYII","UgyATKGM9TQxoONETEN4AaABAg","vấn đề là dựa trên cơ sở nào . con người hay kinh tế","21/09/2024 11:57","6"
"Nj-cd3SXYII","Ugz6-AhAnARPFIbsg_54AaABAg","mình ở Quảng ninh tổn thất rất nhiều ,nhưng vẫn thương cho mấy bạn ở Cao bằng ,Yên Bái ,Lào cai :((","31/07/2025 16:58","0"
"Nj-cd3SXYII","UgyFKjJIsPrGXKhDMtp4AaABAg","A DI ĐÀ PHẬT CHÚC ĐẠI CHÚNG BÌNH AN💕😭🌳🙏🙏🙏🪷🪷🪷","03/10/2024 11:07","2"
"Nj-cd3SXYII","Ugz5h_vktSXmHGTMkEx4AaABAg","Thương thật sự.","22/09/2024 01:38","2"
"Nj-cd3SXYII","Ugz6XooXMqTh1qg-sM54AaABAg","Đem tiền ra ngoài đó xây tượng đài, cổng chào cho cố vô.","30/09/2024 19:29","0"
"Nj-cd3SXYII","UgxThP531rRteGFJetF4AaABAg","Quang Ninh chỗ mìnk nha lúc bão làm cây đu đủ nhà tui gãy lùn:))","21/12/2024 16:15","0"
"Nj-cd3SXYII","UgyXtJSuZXep2amvSJl4AaABAg","Trời ơi cứ tưởng không có Cao Bằng cơ vậy mà còn đứng ở tóp 3 còn Quảng Ninh với Hà Giang còn chỉ đứng top 9& top 4 ,mà Hà Giang còn sạt lở đất rất nhiều còn Quảng Ninh thì bị thiệt hại rất  nặng nề,☹️Hải Phòng nữa chứ ,nhưng mà tội cho dân làng Nủ ,Lào Cai quá thương anh Phúc và em Bảo quá😮‍💨☹️ mong cho mọi người luôn được bình yên ❤và hạnh phúc ạ ❤","01/10/2024 20:37","3"
"Nj-cd3SXYII","UgwF9PdLuhbhnww8k694AaABAg","Quên hải dương bão còn bẻ gãy cây dừa","28/09/2024 20:21","1"
"Nj-cd3SXYII","UgzRgAIsaDH9IxwvZkF4AaABAg","Quê em ở Thái Nguyên, nhà bà ngoại em ở phú thọ","08/12/2024 12:40","1"
"Nj-cd3SXYII","Ugy0brZbnrHQQ9Bt9vZ4AaABAg","Yêu đồng bào thương đồng bào lam","22/09/2024 11:35","2"
"Nj-cd3SXYII","Ugy8MeD_4hi7GPc_3fl4AaABAg","Cố lên nhé, miền Bắc thân yêu😢😢😢❤❤❤❤","06/10/2024 20:48","0"
"Nj-cd3SXYII","UgxAzcCdqO7FT7jKrNV4AaABAg","Ôi trời ơi sao lại như thế này cao bằng của  tôi","06/10/2024 13:58","0"
"Nj-cd3SXYII","UgyxT-MMRf8uxm0Xc-94AaABAg","nhà em ở Thái nguyên chỗ của em cũng bị lũ như vậy nghập sâu tận 2 mét rất là sợ nhà của không ở được nên phải sang nhà bà em ở ngay cạnh nhà em","21/10/2024 19:43","0"
"Nj-cd3SXYII","Ugzcxbo9xd4fa51H0Pt4AaABAg","Ai ở Thái Nguyên thì like nha","29/10/2024 20:58","0"
"Nj-cd3SXYII","UgzkMAaaxfHnsQXb9jV4AaABAg","Nói đến Lào Cai nghẹn lòng vì thương 😢😢😢","09/10/2024 07:40","6"
"Nj-cd3SXYII","UgyULogKbtsylR6I6yx4AaABAg","Bình An zữ chưa 😂😂😂😂😂","10/10/2024 10:44","0"
"Nj-cd3SXYII","UgyJKLEMqJAYxi8a6hB4AaABAg","Tôi nhất là đồng bào miền núi😢","25/09/2024 15:12","1"
"Nj-cd3SXYII","UgwNsDgrtVazTVJcQBx4AaABAg","Mình ở tốp 10thái nguyên phú lương thiệt hại về tài sản người quê e có 1bà bị sạt lở đất ạk rất thương cụ ạ","13/10/2024 20:44","0"
"Nj-cd3SXYII","Ugwt5fxPJ5X6D0H5YHV4AaABAg","A di đà phật con cầu cho mọi người được bình an mạnh khỏe A di đà phật A di đà phật A di đà phật A di đà phật A di đà phật A di đà phật A di đà phật A di đà phật A di đà phật A di đà phật A di đà phật A di đà phật A di đà phật","01/10/2024 21:45","0"
"Nj-cd3SXYII","Ugw5N43f4ou7kzOLrXN4AaABAg","Xin chúa phù hộ cho miền bắc . Amen","22/09/2024 21:01","2"
"Nj-cd3SXYII","UgwXqUR_rBj_yPSCiip4AaABAg","tôi ở Tân Kim nên chỉ đổ cây với gió chứ ko có mưa","16/10/2024 20:42","0"
"Nj-cd3SXYII","UgyG_cGqwlGWobThuH54AaABAg","Cầu mong bà con cào bằng bình yến t cx ở cao bằng mà bão ko toi chỗ t","19/10/2024 10:06","0"
"Nj-cd3SXYII","UgzrvZ6CKJJ9cJDH7vF4AaABAg","Trời ơi ở miền Bắc có bão yagi khủng lắm nhưng mcũng có ở các tỉnh miền khác cơ","02/11/2024 22:08","0"
"Nj-cd3SXYII","UgxCoNKcL3bC01ISiIV4AaABAg","Team yên bái
👇","15/11/2024 21:36","0"
